"date", "low", "high", "open", "close", "volume", "range"
Wed Dec 14 2016,776.6,779.75,778.54,777.66,816.06,3.15
Thu Dec 15 2016,775,780,777.66,776.16,5927.49,5.00
Fri Dec 16 2016,774.8,785,776.16,780.98,5719.66,10.20
Sat Dec 17 2016,779.5,791.97,780.85,788.57,4364.33,12.47
Sun Dec 18 2016,787.19,791.96,788.98,790.72,2847.05,4.77
Mon Dec 19 2016,789,794.99,790.71,790.81,5496.38,5.99
Tue Dec 20 2016,788.58,799.21,791,798.99,5925.20,10.63
Wed Dec 21 2016,798.88,834.5,798.98,834.5,8432.75,35.62
Thu Dec 22 2016,832.38,875.75,834.15,856.02,8778.21,43.37
Fri Dec 23 2016,855.45,918.5,856.45,917.26,12732.47,63.05
Sat Dec 24 2016,880.1,918.19,917.28,891.5,6458.03,38.09
Sun Dec 25 2016,851.11,897.4,891.59,896.12,5380.15,46.29
Mon Dec 26 2016,890,908.24,895.94,902.09,3297.90,18.24
Tue Dec 27 2016,895,943.36,902.08,925.2,6719.75,48.36
Wed Dec 28 2016,923.95,983.46,925.28,982.17,9792.33,59.51
Thu Dec 29 2016,950.5,988.88,982.25,970.72,8997.86,38.38
Fri Dec 30 2016,930.3,970.51,970.51,960.81,7945.76,40.21
Sat Dec 31 2016,949,973.37,961.52,973.37,3837.29,24.37
Sun Jan 01 2017,964.37,1000,973.37,992.95,4421.50,35.63
Mon Jan 02 2017,990.52,1034.39,992.96,1011.45,7723.64,43.87
Tue Jan 03 2017,1006.71,1036.99,1011.52,1020.67,8614.25,30.28
Wed Jan 04 2017,1018,1147,1020.69,1130.3,16222.23,129.00
Thu Jan 05 2017,880,1175,1131.1,1007,20438.58,295.00
Fri Jan 06 2017,875.01,1033.85,1007,895.71,14262.50,158.84
Sat Jan 07 2017,802.07,910,895.78,909,11215.10,107.93
Sun Jan 08 2017,899.16,953.8,908.99,923.33,5410.00,54.64
Mon Jan 09 2017,886.42,923.58,922.04,902.66,5909.58,37.16
Tue Jan 10 2017,899.01,915.1,902.66,907,7221.79,16.09
Wed Jan 11 2017,765,923.98,906.81,795.77,19443.62,158.98
Thu Jan 12 2017,734.64,840,795.8,812.25,13198.30,105.36
Fri Jan 13 2017,782.85,835.01,812.25,831.42,10492.40,52.16
Sat Jan 14 2017,822.34,847.52,831.42,828,4774.30,25.18
Sun Jan 15 2017,819,835,828,833.31,2941.92,16.00
Mon Jan 16 2017,826.03,840,833.43,834.41,3428.79,13.97
Tue Jan 17 2017,830.1,909,834.4,906,7253.48,78.90
Wed Jan 18 2017,850,916.7,906.09,887.99,6937.99,66.70
Thu Jan 19 2017,883.08,907,887.98,902.92,5070.18,23.92
Fri Jan 20 2017,890,904.59,902.92,894.31,3110.59,14.59
Sat Jan 21 2017,891.28,930,894.31,925.06,4666.66,38.72
Sun Jan 22 2017,902,946.25,925.06,931.22,5044.14,44.25
Mon Jan 23 2017,910.63,931.33,929.45,910.7,4141.43,20.70
Tue Jan 24 2017,880,923,911.78,887,6401.74,43.00
Wed Jan 25 2017,886.99,903.98,887,896,4535.10,16.99
Thu Jan 26 2017,896,921.95,896.75,917.02,4718.08,25.95
Fri Jan 27 2017,911,924.47,917.02,922.63,3719.07,13.47
Sat Jan 28 2017,921.81,925.5,922.89,924.98,2634.54,3.69
Sun Jan 29 2017,915,927.47,924.69,916.54,2592.34,12.47
Mon Jan 30 2017,914.69,923.95,916.56,923.23,3617.94,9.26
Tue Jan 31 2017,922.94,972.3,923.26,970.01,6732.26,49.36
Wed Feb 01 2017,963.84,992.75,970.01,992.75,5993.63,28.91
Thu Feb 02 2017,978.74,1010,992.75,1008.38,5728.21,31.26
Fri Feb 03 2017,994.34,1024.5,1008.4,1018,6776.27,30.16
Sat Feb 04 2017,1001.8,1044.12,1018.48,1035.54,4793.81,42.32
Sun Feb 05 2017,1003.02,1036.3,1035.54,1016.32,4621.39,33.28
Mon Feb 06 2017,1014.64,1027.7,1016.32,1022.58,4366.04,13.06
Tue Feb 07 2017,1021.75,1058.26,1022.65,1053.96,5492.41,36.51
Wed Feb 08 2017,1016.49,1069.95,1053.95,1056.7,6978.58,53.46
Thu Feb 09 2017,925,1079,1057.22,994.24,16567.07,154.00
Fri Feb 10 2017,961,1008,993.58,1001.99,7943.68,47.00
Sat Feb 11 2017,995.49,1023.89,1001.88,1018.65,4321.97,28.40
