"date", "low", "high", "open", "close", "volume", "range"
Tue Nov 08 2016,10.81,10.98,10.92,10.84,30960.41,0.17
Wed Nov 09 2016,10.28,10.86,10.83,10.62,73175.22,0.58
Thu Nov 10 2016,10.44,10.68,10.64,10.51,26511.00,0.24
Fri Nov 11 2016,10.16,10.72,10.51,10.29,44519.98,0.56
Sat Nov 12 2016,9.65,10.34,10.29,9.95,46389.01,0.69
Sun Nov 13 2016,9.82,10.41,9.92,10.14,26632.73,0.59
Mon Nov 14 2016,9.93,10.19,10.13,10.02,29836.42,0.26
Tue Nov 15 2016,9.81,10.3,10,10.27,30112.61,0.49
Wed Nov 16 2016,9.82,10.42,10.27,10,42878.92,0.60
Thu Nov 17 2016,9.8,10.13,10,9.91,48661.32,0.33
Fri Nov 18 2016,9.45,9.97,9.9,9.51,55819.74,0.52
Sat Nov 19 2016,9.45,9.78,9.51,9.68,25492.17,0.33
Sun Nov 20 2016,9.52,9.78,9.69,9.6,25186.77,0.26
Mon Nov 21 2016,9.41,9.65,9.58,9.54,28988.66,0.24
Tue Nov 22 2016,9.49,10.21,9.53,9.87,38033.87,0.72
Wed Nov 23 2016,9.73,9.93,9.87,9.8,21427.23,0.20
Thu Nov 24 2016,8.68,9.82,9.8,9.18,67233.11,1.14
Fri Nov 25 2016,9.16,9.74,9.19,9.4,21992.72,0.58
Sat Nov 26 2016,9.26,9.48,9.42,9.33,17875.33,0.22
Sun Nov 27 2016,8.66,9.33,9.33,8.98,61939.51,0.67
Mon Nov 28 2016,8.63,9,8.97,8.67,46708.57,0.37
Tue Nov 29 2016,7.79,8.72,8.67,8.14,84684.17,0.93
Wed Nov 30 2016,8.14,8.75,8.14,8.61,57443.68,0.61
Thu Dec 01 2016,8.3,8.68,8.59,8.45,42193.04,0.38
Fri Dec 02 2016,7.27,8.46,8.46,7.73,118183.25,1.19
Sat Dec 03 2016,7.34,8.12,7.73,7.86,57901.28,0.78
Sun Dec 04 2016,7.35,7.92,7.87,7.37,45053.37,0.57
Mon Dec 05 2016,6.56,7.58,7.39,6.75,93549.92,1.02
Tue Dec 06 2016,5.81,7.99,6.76,7.83,169727.90,2.18
Wed Dec 07 2016,7.33,8.6,7.83,8.35,91022.39,1.27
Thu Dec 08 2016,8.2,8.95,8.35,8.2,69188.61,0.75
Fri Dec 09 2016,7.97,8.65,8.21,8.47,60616.06,0.68
Sat Dec 10 2016,8.04,8.55,8.46,8.14,44650.74,0.51
Sun Dec 11 2016,8.11,8.26,8.14,8.23,22169.58,0.15
Mon Dec 12 2016,8.18,8.62,8.23,8.5,44454.92,0.44
Tue Dec 13 2016,8.35,8.57,8.53,8.41,37242.66,0.22
Wed Dec 14 2016,8.19,8.48,8.4,8.24,34073.31,0.29
Thu Dec 15 2016,7.64,8.32,8.24,7.83,74745.17,0.68
Fri Dec 16 2016,7.77,7.95,7.85,7.84,33701.61,0.18
Sat Dec 17 2016,7.51,7.93,7.84,7.85,37372.58,0.42
Sun Dec 18 2016,7.69,7.97,7.84,7.92,21241.08,0.28
Mon Dec 19 2016,7.57,7.95,7.92,7.64,41333.51,0.38
Tue Dec 20 2016,7.55,7.77,7.65,7.64,28560.53,0.22
Wed Dec 21 2016,7.64,7.97,7.64,7.91,46350.31,0.33
Thu Dec 22 2016,7.5,7.95,7.93,7.55,86905.17,0.45
Fri Dec 23 2016,7.01,7.67,7.54,7.13,95553.45,0.66
Sat Dec 24 2016,7.08,7.46,7.14,7.22,29874.26,0.38
Sun Dec 25 2016,7.12,7.34,7.23,7.19,26438.84,0.22
Mon Dec 26 2016,7.02,7.33,7.18,7.26,26970.32,0.31
Tue Dec 27 2016,7.05,7.37,7.23,7.16,45354.20,0.32
Wed Dec 28 2016,7.05,7.72,7.15,7.62,98303.43,0.67
Thu Dec 29 2016,7.6,8.53,7.6,8.29,152526.66,0.93
Fri Dec 30 2016,8.01,8.52,8.3,8.21,66140.24,0.51
Sat Dec 31 2016,8,8.29,8.2,8.16,43418.85,0.29
Sun Jan 01 2017,8.08,8.6,8.16,8.18,59519.79,0.52
Mon Jan 02 2017,8.05,8.53,8.2,8.38,70490.23,0.48
Tue Jan 03 2017,8.24,10.02,8.38,9.59,193075.39,1.78
Wed Jan 04 2017,9.34,11.17,9.62,11.17,249702.43,1.83
Thu Jan 05 2017,9.08,11.8,11.13,10.23,317606.93,2.72
Fri Jan 06 2017,9.52,10.46,10.23,10.14,139579.01,0.94
Sat Jan 07 2017,9.55,10.21,10.14,9.92,68202.74,0.66
Sun Jan 08 2017,9.89,10.58,9.92,10.5,62882.92,0.69
Mon Jan 09 2017,10.23,10.94,10.5,10.39,71537.45,0.71
Tue Jan 10 2017,10.34,10.75,10.41,10.63,55080.02,0.41
Wed Jan 11 2017,9.47,10.84,10.63,9.95,156666.14,1.37
Thu Jan 12 2017,9.12,10.17,9.96,9.8,79646.58,1.05
Fri Jan 13 2017,9.51,9.91,9.81,9.84,77365.78,0.40
Sat Jan 14 2017,9.69,9.94,9.84,9.86,37227.00,0.25
Sun Jan 15 2017,9.8,10.05,9.86,9.9,27754.14,0.25
Mon Jan 16 2017,9.56,10.23,9.91,9.66,63108.99,0.67
Tue Jan 17 2017,9.65,10.53,9.66,10.34,70389.99,0.88
Wed Jan 18 2017,9.99,10.51,10.33,10.23,62955.28,0.52
Thu Jan 19 2017,10.18,10.5,10.24,10.42,47611.25,0.32
Fri Jan 20 2017,10.42,10.81,10.46,10.62,59455.02,0.39
Sat Jan 21 2017,10.58,11.06,10.65,10.93,60044.83,0.48
Sun Jan 22 2017,10.66,11.07,10.94,10.77,49893.01,0.41
