"date", "low", "high", "open", "close", "volume", "range"
Tue Nov 08 2016,3.84,3.91,3.85,3.84,392.42,0.07
Wed Nov 09 2016,3.77,3.99,3.84,3.98,2068.26,0.22
Thu Nov 10 2016,3.79,3.94,3.85,3.8,297.62,0.15
Fri Nov 11 2016,3.79,3.86,3.84,3.85,192.26,0.07
Sat Nov 12 2016,3.72,3.85,3.85,3.76,2330.77,0.13
Sun Nov 13 2016,3.65,3.94,3.77,3.9,3254.24,0.29
Mon Nov 14 2016,3.81,3.91,3.85,3.86,454.17,0.10
Tue Nov 15 2016,3.84,3.96,3.86,3.92,733.23,0.12
Wed Nov 16 2016,3.86,4.06,3.93,3.94,2465.77,0.20
Thu Nov 17 2016,3.81,3.96,3.94,3.86,2422.80,0.15
Fri Nov 18 2016,3.85,3.95,3.86,3.87,385.56,0.10
Sat Nov 19 2016,3.85,3.99,3.88,3.92,256.35,0.14
Sun Nov 20 2016,3.86,3.99,3.94,3.89,164.19,0.13
Mon Nov 21 2016,3.87,3.93,3.88,3.93,130.57,0.06
Tue Nov 22 2016,3.88,3.99,3.93,3.9,873.22,0.11
Wed Nov 23 2016,3.86,3.97,3.93,3.9,334.49,0.11
Thu Nov 24 2016,3.86,3.93,3.89,3.9,190.51,0.07
Fri Nov 25 2016,3.85,3.91,3.89,3.9,172.33,0.06
Sat Nov 26 2016,3.81,3.91,3.91,3.86,1259.46,0.10
Sun Nov 27 2016,3.82,3.89,3.88,3.88,149.15,0.07
Mon Nov 28 2016,3.81,3.92,3.89,3.84,976.95,0.11
Tue Nov 29 2016,3.81,3.91,3.84,3.82,723.31,0.10
Wed Nov 30 2016,3.51,3.98,3.83,3.85,1834.49,0.47
Thu Dec 01 2016,3.84,3.89,3.88,3.88,175.48,0.05
Fri Dec 02 2016,3.87,3.94,3.89,3.91,405.94,0.07
Sat Dec 03 2016,3.87,3.9,3.89,3.9,100.43,0.03
Sun Dec 04 2016,3.86,3.92,3.89,3.87,158.26,0.06
Mon Dec 05 2016,3.32,3.88,3.88,3.5,4950.77,0.56
Tue Dec 06 2016,3.42,3.56,3.47,3.52,192.58,0.14
Wed Dec 07 2016,3.49,3.86,3.52,3.65,1148.40,0.37
Thu Dec 08 2016,3.63,3.77,3.65,3.65,1824.51,0.14
Fri Dec 09 2016,3.61,3.74,3.69,3.74,260.48,0.13
Sat Dec 10 2016,3.63,3.72,3.7,3.7,62.14,0.09
Sun Dec 11 2016,3.61,3.7,3.65,3.67,51.11,0.09
Mon Dec 12 2016,3.62,3.69,3.66,3.64,247.37,0.07
Tue Dec 13 2016,3.62,3.68,3.66,3.62,13.08,0.06
Wed Dec 14 2016,3.6,3.66,3.62,3.6,278.33,0.06
Thu Dec 15 2016,3.5,3.7,3.64,3.5,313.70,0.20
Fri Dec 16 2016,3.56,3.68,3.64,3.64,178.69,0.12
Sat Dec 17 2016,3.6,3.72,3.63,3.71,205.37,0.12
Sun Dec 18 2016,3.62,3.73,3.69,3.62,270.11,0.11
Mon Dec 19 2016,3.61,3.71,3.69,3.66,69.12,0.10
Tue Dec 20 2016,3.61,3.69,3.66,3.64,117.18,0.08
Wed Dec 21 2016,3.62,3.91,3.64,3.64,1395.82,0.29
Thu Dec 22 2016,3.62,3.88,3.65,3.69,2625.41,0.26
Fri Dec 23 2016,3.65,4.61,3.68,4.61,6043.76,0.96
Sat Dec 24 2016,4.2,5.14,4.6,4.47,5627.16,0.94
Sun Dec 25 2016,4.08,4.49,4.37,4.3,2399.40,0.41
Mon Dec 26 2016,4.13,4.37,4.3,4.27,471.89,0.24
Tue Dec 27 2016,4.18,4.52,4.25,4.34,1164.89,0.34
Wed Dec 28 2016,4.3,4.6,4.33,4.53,1945.50,0.30
Thu Dec 29 2016,4.4,5,4.56,4.68,1370.34,0.60
Fri Dec 30 2016,4.21,4.69,4.67,4.35,426.95,0.48
Sat Dec 31 2016,4.28,4.48,4.39,4.36,1399.92,0.20
Sun Jan 01 2017,4.34,4.57,4.37,4.43,3108.39,0.23
Mon Jan 02 2017,4.4,4.9,4.47,4.62,5942.10,0.50
Tue Jan 03 2017,4.42,4.65,4.56,4.54,1600.82,0.23
Wed Jan 04 2017,4.45,5.99,4.54,4.62,8953.39,1.54
Thu Jan 05 2017,3.88,4.88,4.88,4.24,6953.20,1.00
Fri Jan 06 2017,3.83,4.39,4.24,3.88,2260.62,0.56
Sat Jan 07 2017,3.66,4.49,3.89,3.99,3236.49,0.83
Sun Jan 08 2017,3.99,4.4,3.99,4.03,662.75,0.41
Mon Jan 09 2017,3.89,4.4,4.03,4.39,2350.53,0.51
Tue Jan 10 2017,4.04,4.75,4.29,4.67,2519.56,0.71
Wed Jan 11 2017,3.93,4.68,4.59,3.99,2430.55,0.75
Thu Jan 12 2017,3.79,4.14,4,4.06,5924.21,0.35
Fri Jan 13 2017,3.9,4.05,4.03,3.96,729.60,0.15
Sat Jan 14 2017,3.92,4.25,3.97,4.01,1902.32,0.33
Sun Jan 15 2017,3.95,4.1,4.01,3.97,1496.64,0.15
Mon Jan 16 2017,3.88,3.98,3.97,3.88,277.48,0.10
Tue Jan 17 2017,3.87,4.16,3.88,3.95,1796.89,0.29
Wed Jan 18 2017,3.81,3.95,3.95,3.88,2325.97,0.14
Thu Jan 19 2017,3.83,3.96,3.88,3.89,3078.50,0.13
Fri Jan 20 2017,3.86,3.95,3.9,3.88,892.65,0.09
Sat Jan 21 2017,3.89,3.93,3.89,3.92,620.69,0.04
Sun Jan 22 2017,3.85,3.97,3.92,3.87,1766.44,0.12
Mon Jan 23 2017,3.83,3.92,3.88,3.83,1251.12,0.09
Tue Jan 24 2017,3.73,3.89,3.82,3.73,3713.12,0.16
Wed Jan 25 2017,3.65,3.81,3.72,3.69,3286.04,0.16
Thu Jan 26 2017,3.68,3.98,3.69,3.85,5427.00,0.30
Fri Jan 27 2017,3.79,3.96,3.85,3.9,4270.05,0.17
Sat Jan 28 2017,3.85,3.9,3.89,3.88,739.60,0.05
Sun Jan 29 2017,3.84,3.9,3.89,3.88,460.63,0.06
Mon Jan 30 2017,3.83,4.09,3.88,4.08,6028.98,0.26
Tue Jan 31 2017,4.03,4.19,4.09,4.09,8596.58,0.16
Wed Feb 01 2017,3.95,4.15,4.08,4.08,4314.56,0.20
Thu Feb 02 2017,3.97,4.11,4.07,4.1,4410.22,0.14
Fri Feb 03 2017,3.91,4.12,4.09,4.03,3821.37,0.21
Sat Feb 04 2017,3.94,4.05,4.05,4.03,3032.66,0.11
Sun Feb 05 2017,3.91,4.03,4.03,3.99,1445.03,0.12
Mon Feb 06 2017,3.94,4.02,3.97,3.96,1658.07,0.08
Tue Feb 07 2017,3.94,4.02,3.96,3.98,15502.57,0.08
Wed Feb 08 2017,3.91,4.06,3.98,3.97,12259.00,0.15
Thu Feb 09 2017,3.62,3.99,3.97,3.78,22706.10,0.37
Fri Feb 10 2017,3.7,3.89,3.77,3.83,4404.80,0.19
Sat Feb 11 2017,3.82,3.88,3.83,3.84,6108.18,0.06
Sun Feb 12 2017,3.77,3.85,3.84,3.8,1832.85,0.08
Mon Feb 13 2017,3.74,3.83,3.8,3.79,3942.79,0.09
Tue Feb 14 2017,3.76,3.83,3.77,3.83,3844.94,0.07
Wed Feb 15 2017,3.81,3.91,3.84,3.89,5261.16,0.10
Thu Feb 16 2017,3.85,3.92,3.88,3.86,2015.25,0.07
Fri Feb 17 2017,3.85,3.95,3.88,3.91,2416.17,0.10
Sat Feb 18 2017,3.8,3.94,3.91,3.84,6207.00,0.14
Sun Feb 19 2017,3.76,3.85,3.82,3.81,5782.49,0.09
Mon Feb 20 2017,3.76,3.85,3.81,3.81,5834.80,0.09
Tue Feb 21 2017,3.76,3.89,3.81,3.85,4251.94,0.13
Wed Feb 22 2017,3.85,3.93,3.85,3.89,3827.01,0.08
Thu Feb 23 2017,3.89,4,3.9,3.9,4162.74,0.11
Fri Feb 24 2017,3.79,4,3.93,3.95,4441.76,0.21
Sat Feb 25 2017,3.83,3.98,3.95,3.9,6196.69,0.15
Sun Feb 26 2017,3.84,3.93,3.9,3.89,1609.56,0.09
Mon Feb 27 2017,3.85,3.93,3.89,3.87,8118.85,0.08
Tue Feb 28 2017,3.81,3.94,3.87,3.85,7178.05,0.13
Wed Mar 01 2017,3.8,3.95,3.87,3.86,7024.10,0.15
Thu Mar 02 2017,3.8,4.29,3.87,4.04,17914.12,0.49
Fri Mar 03 2017,4.01,4.5,4.08,4.07,11345.61,0.49
Sat Mar 04 2017,3.88,4.14,4.07,4.04,7149.99,0.26
Sun Mar 05 2017,3.85,4.04,4.04,4.02,2678.46,0.19
Mon Mar 06 2017,3.96,4.1,4.01,4.1,6314.51,0.14
Tue Mar 07 2017,3.9,4.26,4.1,3.99,7521.18,0.36
Wed Mar 08 2017,3.83,4.01,4.01,3.86,6430.80,0.18
Thu Mar 09 2017,3.83,3.95,3.84,3.92,4531.54,0.12
Fri Mar 10 2017,3.7,4.1,3.92,3.8,18553.99,0.40
Sat Mar 11 2017,3.77,3.95,3.78,3.82,11057.37,0.18
Sun Mar 12 2017,3.82,3.95,3.84,3.94,8772.58,0.13
Mon Mar 13 2017,3.89,4.59,3.93,4.4,42524.34,0.70
Tue Mar 14 2017,4.14,4.43,4.4,4.19,11034.41,0.29
Wed Mar 15 2017,4.1,4.45,4.2,4.33,12627.06,0.35
Thu Mar 16 2017,4.22,4.61,4.32,4.31,26318.15,0.39
